Date delivery,Price
16/11/2023,117.63
17/11/2023,121.34
18/11/2023,91.4
19/11/2023,38.2
20/11/2023,106.08
21/11/2023,123.3
22/11/2023,109.69
23/11/2023,61.64
24/11/2023,63.87
25/11/2023,94.6
26/11/2023,116.35
27/11/2023,114.51
28/11/2023,121.94
29/11/2023,140.02
30/11/2023,168.76
01/12/2023,156.4
02/12/2023,116.41
03/12/2023,104.72
04/12/2023,111.76
05/12/2023,114.39
06/12/2023,129.54
07/12/2023,116.6
08/12/2023,103.68
09/12/2023,78.41
10/12/2023,55.87
11/12/2023,79.05
12/12/2023,106.06
13/12/2023,93.04
14/12/2023,107.12
15/12/2023,93.24
16/12/2023,70.7
17/12/2023,50.72
18/12/2023,77.97
19/12/2023,76.29
20/12/2023,62.01
21/12/2023,25.28
22/12/2023,22.66
23/12/2023,30.74
24/12/2023,-3.37
25/12/2023,0.41
26/12/2023,16.62
27/12/2023,60.8
28/12/2023,16.67
29/12/2023,6.36
30/12/2023,34.06
31/12/2023,9.9
01/01/2024,16.18
02/01/2024,53.07
03/01/2024,45.22
04/01/2024,85.41
05/01/2024,91.37
06/01/2024,88.72
07/01/2024,86.33
08/01/2024,102.23
09/01/2024,109.39
10/01/2024,111.84
11/01/2024,109.65
12/01/2024,106.04
13/01/2024,74.57
