Date delivery,Date delivery,month,weekday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,monthly adjustments,S_adjusted_prices,weekly adjustments,price,ARIMA_fitted,SARIMA_fitted,SARIMA_residuals,original_price,trans_SARIMA_fitted,trans_residuals
2024-09-24,2024-09-24,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,87.7740833333333,3.9959166666667016,0.0,91.77,124.2226097650503,124.2226097650503,-32.4526097650503,91.77,124.2226097650503,-32.4526097650503
2024-09-25,2024-09-25,9,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,87.7740833333333,-39.7865582300425,27.152474896709204,75.14,95.08473947893762,95.08473947893762,-19.94473947893762,75.14,95.08473947893762,-19.94473947893762
2024-09-26,2024-09-26,9,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,87.7740833333333,-60.859891837412796,28.085808504079502,55.0,79.59464199023245,79.59464199023245,-24.594641990232446,55.0,79.59464199023245,-24.594641990232446
2024-09-27,2024-09-27,9,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,87.7740833333333,-73.01408333333329,0.0,14.76,51.18560288909036,51.18560288909036,-36.425602889090364,14.76,51.18560288909036,-36.425602889090364
2024-09-28,2024-09-28,9,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,87.7740833333333,-58.704083333333294,0.0,29.07,21.639565070018826,21.639565070018826,7.430434929981175,29.07,21.639565070018826,7.430434929981175
2024-09-29,2024-09-29,9,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,87.7740833333333,-36.48974093611918,7.0656576027858895,58.35,41.43555886630838,41.43555886630838,16.914441133691625,58.35,41.43555886630838,16.914441133691625
2024-09-30,2024-09-30,9,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,87.7740833333333,-54.454083333333294,0.0,33.32,67.42583378802931,67.42583378802931,-34.10583378802931,33.32,67.42583378802931,-34.10583378802931
2024-10-01,2024-10-01,10,1,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,86.80209677419356,-18.962096774193554,0.0,67.84,52.65102441917876,52.65102441917876,15.188975580821243,67.84,52.65102441917876,15.188975580821243
2024-10-02,2024-10-02,10,2,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,86.80209677419356,-18.094571670902766,27.152474896709204,95.86,75.76300927683123,75.76300927683123,20.096990723168773,95.86,75.76300927683123,20.096990723168773
2024-10-03,2024-10-03,10,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,86.80209677419356,-42.22790527827306,28.085808504079502,72.66,75.480638654032,75.480638654032,-2.8206386540320096,72.66,75.480638654032,-2.8206386540320096
2024-10-04,2024-10-04,10,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,86.80209677419356,9.327903225806438,0.0,96.13,51.275657262848696,51.275657262848696,44.8543427371513,96.13,51.275657262848696,44.8543427371513
2024-10-05,2024-10-05,10,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,86.80209677419356,-0.872096774193551,0.0,85.93,74.58717432438968,74.58717432438968,11.342825675610328,85.93,74.58717432438968,11.342825675610328
2024-10-06,2024-10-06,10,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,86.80209677419356,-38.96775437697945,7.0656576027858895,54.9,74.34586366171895,74.34586366171895,-19.445863661718953,54.9,74.34586366171895,-19.445863661718953
2024-10-07,2024-10-07,10,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,86.80209677419356,-3.082096774193559,0.0,83.72,71.03363295506087,71.03363295506087,12.686367044939132,83.72,71.03363295506087,12.686367044939132
